word_cn,word_en
# ========== 空间/环境词汇 (Space/Environment) ==========
# X轴: Close/Dry(贴耳干涩) ← → Distant/Wet(遥远湿润)
# Y轴: Enclosed(封闭盒装) ← → Open/Vast(开阔无垠)

# --- 近处 + 封闭 (左上) ---
贴耳,Intimate
近距,Close-up
贴近,Proximate
靠近,Near
干涩,Bone-dry
干燥,Arid
无混响,Anechoic
死寂,Dead
录音棚,Studio-like
隔音,Soundproofed
幽闭,Claustrophobic
狭窄,Narrow
逼仄,Cramped
局促,Confined
闷热,Stuffy
窒息,Suffocating
盒装,Boxy
柜子,Cabinet-like
衣柜,Closet-like
抽屉,Drawer-like
小房间,Small-room
浴室,Bathroom-like
电话,Telephone-like
对讲机,Walkie-talkie
收音机,Radio-like
低质,Lo-fi-space
压缩,Compressed
扁平,Flat
单薄,Thin-space
无深度,Depthless

# --- 远处 + 封闭 (右上) ---
混响,Reverberant
回声,Echoey
共鸣,Resonant
回荡,Reverberating
大厅,Hall-like
音乐厅,Concert-hall
剧院,Theater-like
礼堂,Auditorium
教堂,Church-like
大教堂,Cathedral
穹顶,Domed
圆顶,Vaulted
拱形,Arched
石室,Stone-chamber
地下室,Basement
地窖,Cellar
隧道,Tunnel-like
管道,Pipe-like
金属管,Tubular
走廊,Corridor
过道,Hallway
楼梯间,Stairwell
电梯井,Elevator-shaft
回廊,Cloister
中庭,Atrium
仓库,Warehouse
工厂,Factory-like
车库,Garage-like
停车场,Parking-lot
体育馆,Gymnasium

# --- 近处 + 开阔 (左下) ---
清晰,Present
直接,Direct
聚焦,Focused
锐利,Sharp-space
前置,Upfront
突出,Prominent
明确,Defined
清楚,Articulate
分明,Distinct
透彻,Transparent-space
广角,Wide-angle
宽幅,Wide-spread
展开,Spread-out
平坦,Flat-field
平原,Plain-like
草地,Meadow-like
田野,Field-like
户外近景,Outdoor-close
露天,Open-air
阳台,Balcony
露台,Terrace
庭院,Courtyard
花园,Garden
公园,Park-like
街道,Street-level
城市,Urban
市区,Downtown
巷子,Alley
广场近景,Plaza-close
操场,Playground

# --- 远处 + 开阔 (右下) ---
扩散,Diffused
弥漫,Permeating
散射,Scattered
遥远,Distant
远方,Far-away
天边,Horizon
辽阔,Vast
无垠,Endless-space
无限,Infinite
巨大,Massive
宏大,Grand
壮阔,Magnificent
大气,Atmospheric
环境,Environmental
沉浸,Immersive
包围,Enveloping
环绕,Surrounding
360度,Surround
全景,Panoramic
立体,Stereo-field
峡谷,Canyon
山谷,Valley
山脉,Mountain-range
高原,Plateau
沙漠,Desert
荒野,Wilderness
森林,Forest
丛林,Jungle
海洋,Ocean
深海,Deep-sea

# --- 中性/过渡词汇 ---
中等距离,Medium-distance
适中,Moderate
自然空间,Natural-space
房间,Room-sized
客厅,Living-room
卧室,Bedroom
办公室,Office-like
会议室,Conference-room
教室,Classroom
图书馆,Library-like
咖啡馆,Cafe-like
餐厅,Restaurant
酒吧,Bar-like
俱乐部,Club-like
地铁,Subway
火车站,Train-station
机场,Airport
候机厅,Terminal
购物中心,Mall
超市,Supermarket
医院,Hospital-like
学校,School-like
博物馆,Museum
画廊,Gallery
实验室,Laboratory
温室,Greenhouse
水族馆,Aquarium
动物园,Zoo-like
游乐场,Amusement-park
电影院,Cinema

