word_cn,word_en,semantic_hint
# ========== 源场透镜 (Source & Physics) ==========
# X轴: Static/Drone(静态/铺底) ← → Transient/Impact(瞬态/冲击)
# Y轴: Organic/Natural(有机/自然) ← → Sci-Fi/Synth(科幻/合成)

# ============================================
# 左上象限: 环境氛围 (Ambiences)
# 静态 + 有机
# ============================================
风声,Wind,
微风,Breeze,
狂风,Gale,
暴风,Storm,wind
呼啸风,Howling,wind
阵风,Gust,
气流,Draft,
雨声,Rain,
细雨,Drizzle,
暴雨,Downpour,
雷雨,Thunderstorm,
冰雹,Hail,
暴风雪,Blizzard,
雪暴,Snowstorm,
森林环境,Forest,ambience
丛林环境,Jungle,ambience
树叶,Leaves,
树枝,Branches,
灌木,Bushes,
河流,River,
溪流,Stream,
瀑布,Waterfall,
海浪,Ocean,waves
潮汐,Tides,
海滩,Beach,
峡谷,Canyon,
洞穴环境,Cave,ambience
沙漠,Desert,
山脉,Mountain,
山谷,Valley,
沼泽,Swamp,
火焰,Fire,
篝火,Campfire,
营火,Campfire,outdoor
壁炉,Fireplace,
烈焰,Blaze,
余烬,Embers,
燃烧,Burning,
火把,Torch,
鸟鸣,Birdsong,
虫鸣,Insects,
蛙叫,Frogs,
蝉鸣,Cicadas,
蟋蟀,Crickets,
呼吸,Breathing,
心跳,Heartbeat,
喘息,Panting,
叹息,Sighing,
鼾声,Snoring,
洞穴回响,Cave,echo
地下空间,Underground,
深渊氛围,Abyss,ambience
山谷回响,Valley,echo
空旷野外,Open,field
环境音,Ambience,
房间底噪,Room,Tone
城市环境,City,ambience
交通声,Traffic,
人群声,Crowd,
掌声,Applause,
欢呼,Cheer,
笑声,Laugh,
长音低鸣,Drone,
# 从 Core HF 补充
气泡,Bubble,
流动,Flow,
倾倒,Pour,
水,Water,
溅水,Splash,
滴水,Drip,
潜入,Submerge,
急流,Torrent,
细流,Trickle,
波浪,Wave,
沸腾,Boil,
咕噜声,Gurgle,
涟漪,Ripple,
晃动溅泼,Slosh,
喷洒,Spray,
洒水器,Sprinkler,
喷射,Squirt,
浪涌汹涌,Surge,
漩涡,Swirl,
冲刷,Wash,
点火,Ignite,
爆裂声,Crackle,
雷,Thunder,
闪电,Lightning,
风暴,Storm,
雾环境音,Fog,
飓风,Hurricane,
龙卷风,Tornado,
毛毛雨,Drizzle,light
低吼,Growl,
咆哮,Roar,
尖叫,Screech,
龇牙低鸣,Snarl,
嘶嘶声,Hiss,
咀嚼咬合,Chomp,
农场,Farm,
港口,Harbor,
公园,Park,

# ============================================
# 右上象限: 物理拟音 (Foley)
# 瞬态 + 有机
# ============================================
脚步,Footsteps,
跑步,Running,
跳跃,Jumping,
着地,Landing,
踩踏,Stomping,
拳击,Punch,
掌掴,Slap,
踢打,Kick,
摔倒,Body,fall
翻滚,Tumbling,
木头碎裂,Wood,break
树枝折断,Branch,snap
骨折,Bone,crack
关节响,Joint,pop
脖子扭动,Neck,twist
玻璃碎裂,Glass,shatter
陶瓷破碎,Ceramic,break
石头碰撞,Stone,impact
岩石崩塌,Rockslide,
碎石,Gravel,crunch
布料撕裂,Cloth,tear
纸张,Paper,
皮革,Leather,
绳索,Rope,
链条,Chains,
门开关,Door,
抽屉,Drawer,
柜子,Cabinet,
窗户,Window,
锁扣,Lock,
水花,Splash,foley
水滴,Drip,foley
泼水,Water,pour
浸入,Submersion,
溅射,Splatter,
切菜,Chopping,
烹饪,Cooking,
煎炸,Frying,
沸腾锅,Boiling,pot
倒酒,Pouring,drink
# 从 Core HF 补充 - Impact
撞击,Hit,
冲击,Impact,
闷响,Thud,
粉碎,Smash,
碰撞坠毁,Crash,
重击挥拳,Punch,heavy
踢腿,Kick,impact
拍打耳光,Slap,impact
倒地,Bodyfall,
金属撞击,Metal,impact
木头撞击,Wood,impact
玻璃撞击,Glass,impact
塑料撞击,Plastic,impact
混凝土撞击,Concrete,impact
肉体撞击,Flesh,impact
岩石撞击,Rock,impact
沥青,Asphalt,
砖块,Brick,
纸板,Cardboard,
陶瓷,Ceramic,
泥土尘土,Dirt,
织物,Fabric,
枝叶植被,Foliage,
碎石砂砾,Gravel,
油毡地板革,Linoleum,
大理石,Marble,
泥浆,Mud,
瓷器,Porcelain,
橡胶,Rubber,
沙子,Sand,
雪,Snow,
瓷砖,Tile,
薄金属,Tin,
反弹,Bounce,
崩塌碎裂,Crumble,
哑弹闷响,Dud,
擦过掠过,Glance,
跳弹反弹,Ricochet,
粉碎玻璃,Shatter,
裂片木头,Splinter,
# 从 Core HF 补充 - Movement
呼啸嗖声,Whoosh,
飞掠声,Swoosh,
挥动声,Swish,
飞驰而过,Pass,by
飞越,Flyby,
多普勒效应,Doppler,
沙沙声摩擦声,Rustle,
布料声,Cloth,
滑动,Slide,
刮擦,Scrape,
拖拽,Drag,
嘎吱声,Creak,
咔嗒声震动声,Rattle,
摇晃,Shake,
掉落,Drop,
攀爬,Climb,
爬行,Crawl,
潜水俯冲,Dive,
跌落,Fall,
拍打翅膀布料,Flap,
轻弹,Flick,
滑翔,Glide,
抓取,Grab,
滚动,Roll,
奔跑,Run,
手脚并用攀爬,Scramble,
急促跑动小生物,Scurry,
拖着脚走,Shuffle,
旋转,Spin,
冲刺,Sprint,
游泳,Swim,
摆动,Swing,
投掷,Throw,
踮脚尖,Tiptoe,
行走,Walk,
# 从 Core HF 补充 - Foley物品
喷雾剂,Aerosol,
包袋子,Bag,
气球,Balloon,
铃铛,Bell,
书本,Book,
瓶盖,Bottle,Cap
盒子箱子,Box,
气泡膜,Bubble,Wrap
水桶,Bucket,
相机,Camera,
卡片,Card,
现金,Cash,
粉笔,Chalk,
香烟,Cigarette,
硬币,Coin,
软木塞,Cork,
信用卡,Credit,Card
骰子,Dice,
手套,Glove,
珠宝首饰,Jewelry,
钥匙,Key,
打火机,Lighter,
弹珠,Marble,
钱,Money,
纸袋,Paper,Bag
按笔声,Pen,Click
手机,Phone,
塑料袋,Plastic,Bag
手提包,Purse,
绳子,Rope,foley
橡皮筋,Rubber,Band
行李箱,Suitcase,
胶带,Tape,
玩具,Toy,
雨伞,Umbrella,
