word_cn,word_en,semantic_hint
# ========== 材质色调词汇 (Materiality / Room) ==========
# X轴: Close/Dry(贴耳干涩) ← → Distant/Wet(遥远湿润)
# Y轴: Cold/Reflective(冷硬反射) ← → Warm/Absorbent(暖软吸音)
# 以英文专业术语为基准 + 语义后缀辅助定位

# ===== 左上 (Close + Cold) = Industrial/Clinical 工业/临床 =====

# --- 空间类型 ---
瓷砖浴室,Tile,Bathroom close metallic reflective cold
小浴室,Small,Bathroom close ceramic tile cold
洗手间,Restroom,close tile metallic cold
厨房,Kitchen,close metallic hard cold
手术室,Surgical,Room close sterile metallic cold
医院,Hospital,close clinical sterile cold
诊所,Clinic,close clinical sterile cold
实验室,Laboratory,close sterile metallic cold
金属走廊,Metal,Corridor close metallic reflective cold
玻璃走廊,Glass,Corridor close glass reflective cold
金属通风管,Metal,Duct close metallic resonant cold
通风管道,Ventilation,Shaft close metallic industrial cold
电梯内,Elevator,Interior close metallic confined cold
地铁车厢,Subway,Car close metallic rattling cold
火车车厢,Train,Car close metallic rattling cold
电话亭,Phone,Booth close metallic confined cold
金属棚屋,Metal,Shed close metallic industrial cold
锅炉房,Boiler,Room close metallic loud cold
机房,Server,Room close metallic humming cold
设备间,Equipment,Room close metallic industrial cold
停车库,Parking,Garage close concrete echo cold
隧道,Tunnel,close metallic echoing cold
地下通道,Underpass,close concrete metallic cold
工厂车间,Factory,Floor close industrial metallic cold
加工厂,Processing,Plant close industrial metallic cold

# --- 材质属性 ---
瓷砖,Tile,close ceramic hard cold reflective
陶瓷,Ceramic,close hard cold reflective
玻璃,Glass,close hard reflective cold bright
不锈钢,Stainless,Steel close metallic bright cold
铝,Aluminum,close metallic bright cold
金属,Metal,close metallic hard cold
铁,Iron,close metallic hard cold
钢,Steel,close metallic hard cold industrial
混凝土,Concrete,close hard cold reflective
大理石,Marble,close hard cold reflective polished
花岗岩,Granite,close hard cold reflective stone

# --- 声学特征 ---
振铃,Ringing,close metallic resonant cold
刺耳,Harsh,close bright sharp cold
明亮,Bright,close reflective high-frequency cold
尖锐,Sharp,close high-frequency metallic cold
高频反射,High,Frequency Reflections close bright cold
反射,Reflective,close hard cold bright
共振,Resonant,close metallic ringing cold
颤振回声,Flutter,Echo close metallic cold
梳状滤波,Comb,Filtering close metallic reflective cold
嗡嗡声,Buzz,close electrical metallic cold
金属感,Metallic,close hard cold industrial
冰冷,Cold,close hard reflective icy
硬质,Hard,close reflective cold metallic
临床感,Clinical,close sterile cold metallic
无菌感,Sterile,close clinical cold metallic

# --- 设备/物体 ---
自动扶梯,Escalator,close metallic mechanical cold
自动门,Automatic,Door close metallic mechanical cold
旋转门,Revolving,Door close metallic mechanical cold
暖通空调,HVAC,close metallic humming cold
通风口,Vent,close metallic cold industrial
排水格栅,Drain,Grate close metallic cold industrial
井盖,Manhole,Cover close metallic cold industrial
消防栓,Fire,Hydrant close metallic cold industrial
自动售货机,Vending,Machine close metallic humming cold
ATM机,ATM,close metallic beeping cold
打印机,Printer,close metallic office cold
复印机,Photocopier,close metallic office cold
碎纸机,Shredder,close metallic office cold
打字机,Typewriter,close metallic clicking cold
文件柜,Filing,Cabinet close metallic office cold

# ===== 右上 (Distant + Cold) = Cathedral/Canyon 大教堂/峡谷 =====

# --- 空间类型 ---
大教堂,Cathedral,distant vast stone reverb cold
教堂,Church,distant stone reverb cold
石质教堂,Stone,Church distant stone reverb cold
礼拜堂,Chapel,distant stone reverb cold
修道院,Monastery,distant stone reverb cold
寺庙,Temple,distant stone reverb cold
清真寺,Mosque,distant dome reverb cold
峡谷,Canyon,distant vast echo cold stone
山谷,Valley,distant vast echo cold
冰洞,Ice,Cave distant frozen echo cold vast
冰川洞穴,Glacier,Cavern distant frozen echo cold vast
石窟,Stone,Cavern distant vast stone echo cold
洞穴,Cave,distant stone echo cold
矿井,Mine,Shaft distant cold echo vast
采石场,Quarry,distant vast stone echo cold
地下城,Underground,City distant vast stone cold
城堡大厅,Castle,Hall distant vast stone reverb cold
宫殿,Palace,distant vast marble reverb cold
大理石大厅,Marble,Hall distant vast marble reverb cold
穹顶大厅,Domed,Hall distant vast reverb cold stone hard reflective
拱形天花板,Vaulted,Ceiling distant vast reverb cold
长廊,Long,Corridor distant stone echo cold
回廊,Cloister,distant stone reverb cold
中庭,Atrium,distant vast reverb cold
废弃工厂,Abandoned,Factory distant vast metallic echo cold
空荡仓库,Empty,Warehouse distant vast metallic echo cold hard industrial reflective
飞机库,Hangar,distant vast metallic echo cold
体育馆,Stadium,distant vast echo cold hard concrete reflective
竞技场,Arena,distant vast echo cold
音乐厅,Concert,Hall distant vast reverb cold
剧院,Theater,distant vast reverb cold
歌剧院,Opera,House distant vast reverb cold

# --- 声学特征 ---
长混响,Long,Reverb distant vast echo cold
混响尾巴,Reverb,Tail distant vast decay cold
延迟,Delay,distant echo cold
回拍延迟,Slapback,Delay distant bright echo cold
回声,Echo,distant vast cold
多重回声,Multiple,Echoes distant vast cold
空灵,Ethereal,distant vast reverb cold
宏大,Grand,distant vast reverb cold
巨大,Massive,distant vast cold
辽阔,Vast,distant open cold
冰冷回响,Icy,Reverb distant frozen reverb cold
石质反射,Stone,Reflections distant stone echo cold
高天花板,High,Ceiling distant vast cold
开阔空间,Open,Space distant vast cold

# --- 自然环境 ---
山脉,Mountains,distant vast cold echo
悬崖,Cliff,distant vast cold echo
峭壁,Rock,Face distant stone cold echo
冰原,Ice,Field distant frozen vast cold
冻土,Frozen,Ground distant frozen cold

# ===== 左下 (Close + Warm) = Intimate/Booth 私密/哑房 =====

# --- 空间类型 ---
录音棚,Recording,Booth close dry warm anechoic
隔音间,Isolation,Booth close dry warm dead
配音间,Voice,Over Booth close dry warm intimate
消声室,Anechoic,Chamber close dry warm dead
哑房,Dead,Room close dry warm no-reverb
吸音室,Absorptive,Room close warm muffled
控制室,Control,Room close dry warm
木屋,Wooden,Cabin close warm soft cozy
原木小屋,Log,Cabin close warm soft cozy
阁楼,Attic,close warm soft muffled
地下室,Basement,close warm muffled
衣柜,Closet,close warm muffled fabric
储藏室,Storage,Room close warm muffled
卧室,Bedroom,close warm soft intimate
起居室,Living,Room close warm soft cozy
书房,Study,close warm quiet soft
图书馆,Library,close warm quiet soft
咖啡馆,Cafe,close warm soft ambient
餐厅,Restaurant,close warm soft ambient

# --- 材质属性 ---
木头,Wood,close warm soft natural
木板,Wooden,Panel close warm soft
原木,Log,close warm soft natural
地毯,Carpet,close warm soft muffled
布料,Fabric,close warm soft muffled
天鹅绒,Velvet,close warm soft plush
棉,Cotton,close warm soft muffled
羊毛,Wool,close warm soft muffled
毛毯,Blanket,close warm soft muffled cozy
被子,Duvet,close warm soft muffled cozy
枕头,Pillow,close warm soft muffled cozy
沙发,Couch,close warm soft cushioned
软垫,Cushion,close warm soft muffled
泡沫,Foam,close warm soft absorptive
吸音棉,Acoustic,Foam close warm absorptive dead
吸音板,Acoustic,Panel close warm absorptive dry

# --- 声学特征 ---
贴耳,Close,Miked close intimate dry warm
私密,Intimate,close warm soft whisper
耳语,Whisper,close intimate warm soft
低语,Murmur,close intimate warm soft
温暖,Warm,close soft cozy
柔和,Soft,close warm gentle muffled
沉闷,Muffled,close warm dull
闷声,Dull,close warm muffled
干声,Dry,close warm no-reverb
无混响,No,Reverb close dry warm dead
死寂,Dead,close dry warm anechoic
吸音,Absorbent,close warm muffled
低频突出,Bass,Heavy close warm low-frequency
低沉,Low,Frequency close warm muffled
舒适,Cozy,close warm soft intimate
安静,Quiet,close warm soft silent
静谧,Silent,close warm soft quiet
隔音,Soundproofed,close warm dry isolated
隔离,Isolated,close warm dry quiet
无反射,Non,Reflective close warm absorptive

# --- 家居物品 ---
窗帘,Curtain,close warm soft muffled fabric
帷幔,Drapes,close warm soft muffled heavy
床,Bed,close warm soft cozy
床垫,Mattress,close warm soft cozy
地毯(块),Rug,close warm soft muffled
挂毯,Tapestry,close warm soft muffled fabric

# ===== 右下 (Distant + Warm) = Deep/Submerged 深渊/水下 =====

# --- 空间类型 ---
水下,Underwater,distant muffled warm submerged
深海,Deep,Sea distant muffled warm dark
海底,Ocean,Floor distant muffled warm dark
游泳池水下,Pool,Underwater distant muffled warm submerged
湖底,Lake,Bottom distant muffled warm dark
