word_cn,word_en
# === Abstract/Design ===
强调音,Accent
氛围音,Ambient
大气,Atmosphere
起音,Attack
衬底,Bed
情绪推进,Build-up
洞穴感,Cavernous
高潮,Climax
音簇,Cluster
渐强,Crescendo
衰减,Decay
不协和,Discordant
失真,Distortion
下降音,Downer
持续低鸣,Drone
掉落,Drop
演变,Evolution
淡入,Fade-In
淡出,Fade-Out
反馈,Feedback
过滤,Filter
终章,Finale
镶边,Flanger
频率,Frequency
颗粒,Grain
泛音,Harmonic
打击,Hit
冲击,Impact
工业感,Industrial
前奏,Intro
层叠,Layer
循环,Loop
低频端,Low-End
极简,Minimal
调制,Modulation
变形,Morph
噪音,Noise
单次触发,One-shot
尾声,Outro
铺底,Pad
飞驰而过,Pass-by
相位,Phase
音高,Pitch
经过处理,Processed
脉冲,Pulse
倒放,Reverse
节奏,Rhythm
上升,Rise
上升音效,Riser
刮擦声(设计类),Scrape
序列,Sequence
冲击波,Shockwave
静音,Silence
简单,Simple
猛击,Slam
慢动作,Slow-mo
空间感,Space
跨度,Span
刺点,Stinger
超低音,Sub
回吸音,Suckback
扫频,Sweep
膨胀,Swell
挥动声,Swish
飞掠声,Swoosh
同步,Sync
合成音,Synth
尾音,Tail
张力,Tension
质感,Texture
沉重撞击,Thump
音色,Timbre
预告片,Trailer
变形,Transform
转场,Transition
背景配乐,Underscore
力度,Velocity
扭曲,Warp
冲刷音(长尾音),Wash
波形,Wave
呼啸,Whoosh
呼啸撞击,Whooshbang
# === Audio_Process/Design ===
衰减,Attenuate
自动化,Automation
带宽,Bandwidth
位深,Bit-Depth
提升,Boost
旁通,Bypass
效果链,Chain
削波,Clipping
拼接(人声),Comping
压缩,Compression
交叉淡化,Crossfade
阻尼,Damping
衰减,Decay
扩散,Diffusion
抖动(降位深),Dither
干声,Dry
闪避,Ducking
动态范围,Dynamic-Range
均衡器,Equalizer
激励器,Exciter
扩展器,Expander
推子,Fader
反馈,Feedback
滤波器,Filter
镶边,Flanger
增益,Gain
门限,Gate
动态余量,Headroom
脉冲响应,Impulse
插入,Insert
隔离,Isolation
延迟,Latency
分层,Layering
限制器,Limiter
循环,Looping
掩蔽效应,Masking
母带处理,Mastering
混音,Mixing
单声道,Mono
静音,Mute
归一化,Normalize
声像,Pan
并行处理,Parallel
参量(EQ),Parametric
相位,Phase
移相器,Phaser
变调,Pitch-Shift
极性,Polarity
量化,Quantize
比率,Ratio
混响,Reverb
倒放,Reverse
采样率,Sample-Rate
饱和度,Saturation
发送,Send
侧链,Sidechain
信号流,Signal-Flow
独奏,Solo
频谱,Spectrum
立体声,Stereo
阈值,Threshold
音色,Timbre
瞬态,Transient
微调,Trim
颤音,Vibrato
宽度(立体声),Width
# === Cinematic/Element ===
重音,Accent
氛围,Atmosphere
铺底音效,Bed
轰鸣,Boom
布拉姆音效(盗梦空间号角声),Braaam
情绪堆叠,Build-Up
高潮,Climax
下降音效,Downer
坠落,Drop
结尾,Ending
填充音,Fill
终章,Finale
打击,Hit
前奏,Intro
短乐句,Jingle
Logo展示音,Logo
尾声,Outro
乐句,Phrase
乒声,Ping
脉冲,Pulse
倒放,Reverse
上升,Rise
上升音效,Riser
配乐,Score
突发刺点,Stinger
超低频轰鸣,Sub-Boom
回吸音效,Suckback
膨胀,Swell
纹理,Texture
标题音效,Title
预告片风格,Trailer
转场,Transition
呼啸,Whoosh
呼啸打击,Whoosh-Hit
# === Horror/Ambience ===
氛围,Atmosphere
洞穴,Cave
合唱(诡异),Choir
教堂,Church
低鸣,Drone
医院(废弃),Hospital
实验室,Laboratory
金属嘎吱声,Metal-Creak
雨(阴森),Rain
上升音(惊悚),Riser
突发音(吓人),Stinger
风暴,Storm
雷声,Thunder
木头嘎吱声,Wood-Creak
# === Horror/General ===
恐怖,Horror
突发惊吓,Jump-Scare
吓人,Scary
紧张感,Tension
# === Modifier/Mood ===
侵略性,Aggressive
愤怒,Angry
焦虑,Anxious
危险,Danger
压抑,Depressing
情绪化,Emotional
兴奋,Exciting
未来感,Futuristic
阴沉,Gloomy
历史感,Historical
激烈,Intense
孤独,Lonely
忧郁,Melancholic
军事,Military
神秘,Mysterious
强大,Powerful
悲伤,Sad
严肃,Serious
幽灵般,Spooky
悬疑,Suspenseful
威胁,Threatening
悲剧,Tragic
都市感,Urban
暴力,Violent
# === Modifier/Sonic_Character ===
模拟味,Analog
人工的,Artificial
重低音,Bass-Heavy
压缩感,Compressed
阻尼,Dampened
直接,Direct
干声(无混响),Dry
电子,Electronic
经过均衡处理,EQed
滤波,Filtered
模糊,Fuzzy
硬,Hard
谐波,Harmonic
高保真,Hi-Fi
高音调,High-Pitch
不和谐,Inharmonic
低保真,Lo-Fi
响亮,Loud
低音调,Low-Pitch
机械感,Mechanical
调制感,Modulated
静音,Muted
变调,Pitch-Shift
经过处理,Processed
混响感,Reverberant
机械化,Robotic
隆隆作响,Rumbly
饱和,Saturated
寂静,Silent
超低频,Sub
合成,Synthetic
高频,Treble
震动,Vibrating
# === Sound_Word/Electronic ===
哔声,Beep
短促信号音,Blip
电子水泡音,Bloop
咔嗒(鼠标,Click
故障音,Glitch
乒声(声纳,Ping
脉冲音,Pulse
滴答(钟表),Tick
嗒(钟表),Tock
# === Sound_Word/Friction_Break ===
噼里啪啦(燃烧),Crackle
嘎吱(木头,Creak
嘎吱(研磨),Grind
呻吟(物体受压),Groan
刺耳刮擦声,Rasp
咔嗒咔嗒(震动),Rattle
沙沙声(树叶,Rustle
刮擦声,Scrape
抓挠声,Scratch
粉碎声,Shatter
啪(折断),Snap
吱吱声,Squeak
尖叫声(刹车,Squeal
# === Texture/General ===
密集,Dense
干,Dry
回声,Echo
