word_cn,word_en,semantic_hint,category
纯净,Pure,cold digital minimal relaxed smooth calm,adjective
水晶,Crystal,cold digital minimal relaxed smooth calm,adjective
极简,Minimal,cold digital minimal relaxed smooth calm,adjective
精确,Precise,cold digital minimal relaxed smooth calm,noun
临床感,Clinical,cold digital minimal relaxed smooth calm,adjective
无菌,Sterile,cold digital minimal relaxed smooth calm,noun
空灵,Ethereal,cold digital minimal relaxed smooth calm,adjective
飘渺,Floating,cold digital minimal relaxed smooth calm,noun
透明,Transparent,cold digital minimal relaxed smooth calm,adjective
清澈,Clear,cold digital minimal relaxed smooth calm,adjective
洁净,Clean,cold digital minimal relaxed smooth calm,adjective
轻盈,Light,cold digital minimal relaxed smooth calm,adjective
稀薄,Thin,cold digital minimal relaxed smooth calm,adjective
明亮,Bright,cold digital minimal relaxed smooth calm,adjective
静谧,Serene,cold digital minimal relaxed smooth calm,noun
宁静,Tranquil,cold digital minimal relaxed smooth calm,adjective
安详,Peaceful,cold digital minimal relaxed smooth calm,adjective
数字,Digital,cold digital minimal relaxed smooth calm,adjective
电子,Electronic,cold digital minimal relaxed smooth calm,adjective
合成,Synthetic,cold digital minimal relaxed smooth calm,adjective
平滑,Smooth,cold digital minimal relaxed smooth calm,adjective
丝滑,Silky,cold digital minimal relaxed smooth calm,noun
柔顺,Sleek,cold digital minimal relaxed smooth calm,adjective
冰冷,Icy,cold digital minimal relaxed smooth calm,adjective
冰晶,Frozen,cold digital minimal relaxed smooth calm,verb
清脆,Crisp,cold digital minimal relaxed smooth calm,adjective
细腻,Fine,cold digital minimal relaxed smooth calm,adjective
精致,Refined,cold digital minimal relaxed smooth calm,noun
冥想,Meditation,cold digital minimal relaxed smooth calm,adjective
禅意,Zen,cold digital minimal relaxed smooth calm,adjective
极简主义,Minimalist,cold digital minimal relaxed smooth calm,adjective
白噪音,White-noise,cold digital minimal relaxed smooth calm,adjective
正弦波,Sine,cold digital minimal relaxed smooth calm,noun
纯音,Pure-tone,cold digital minimal relaxed smooth calm,adjective
干净,Pristine,cold digital minimal relaxed smooth calm,adjective
无尘,Dust-free,cold digital minimal relaxed smooth calm,adjective
真空,Vacuum,cold digital minimal relaxed smooth calm,noun
太空,Space,cold digital minimal relaxed smooth calm,noun
无重力,Weightless,cold digital minimal relaxed smooth calm,adjective
漂浮,Drift,cold digital minimal relaxed smooth calm,verb
悬浮,Suspended,cold digital minimal relaxed smooth calm,noun
舒缓,Soothing,cold digital minimal relaxed smooth calm,noun
轻柔,Gentle,cold digital minimal relaxed smooth calm,adjective
低调,Subtle,cold digital minimal relaxed smooth calm,noun
安静,Quiet,cold digital minimal relaxed smooth calm,adjective
柔软,Soft,cold digital minimal relaxed smooth calm,adjective
环境,Ambient,cold digital minimal relaxed smooth calm,noun
氛围,Atmospheric,cold digital minimal relaxed smooth calm,noun
铺底,Pad,cold digital minimal relaxed smooth calm,noun
持续,Sustained,cold digital minimal relaxed smooth calm,noun
延音,Sustain,cold digital minimal relaxed smooth calm,noun
无限,Infinite,cold digital minimal relaxed smooth calm,adjective
循环,Loop,cold digital minimal relaxed smooth calm,verb
无缝,Seamless,cold digital minimal relaxed smooth calm,adjective
流动,Flowing,cold digital minimal relaxed smooth calm,verb
玻璃,Glass,cold digital minimal relaxed smooth calm,noun
银色,Silver,cold digital minimal relaxed smooth calm,adjective
钻石,Diamond,cold digital minimal relaxed smooth calm,noun
星光,Starlight,cold digital minimal relaxed smooth calm,adjective
月光,Moonlight,cold digital minimal relaxed smooth calm,adjective
薄雾,Mist,cold digital minimal relaxed smooth calm,noun
晨露,Dew,cold digital minimal relaxed smooth calm,noun
温暖,Warm,hot analog warm relaxed mellow vintage,adjective
复古,Vintage,hot analog warm relaxed mellow vintage,noun
怀旧,Retro,hot analog warm relaxed mellow vintage,noun
模拟,Analog,hot analog warm relaxed mellow vintage,adjective
电子管,Tube,hot analog warm relaxed mellow vintage,verb
磁带,Tape,hot analog warm relaxed mellow vintage,noun
柔和,Mellow,hot analog warm relaxed mellow vintage,adjective
圆润,Round,hot analog warm relaxed mellow vintage,noun
丰满,Full,hot analog warm relaxed mellow vintage,noun
厚实,Thick,hot analog warm relaxed mellow vintage,adjective
肥厚,Fat,hot analog warm relaxed mellow vintage,adjective
丰富,Rich,hot analog warm relaxed mellow vintage,adjective
有机,Organic,hot analog warm relaxed mellow vintage,adjective
自然,Natural,hot analog warm relaxed mellow vintage,noun
原木,Woody,hot analog warm relaxed mellow vintage,noun
木质,Wooden,hot analog warm relaxed mellow vintage,adjective
原声,Acoustic,hot analog warm relaxed mellow vintage,noun
泥土,Earthy,hot analog warm relaxed mellow vintage,noun
大地,Earth,hot analog warm relaxed mellow vintage,noun
舒适,Cozy,hot analog warm relaxed mellow vintage,adjective
惬意,Comfortable,hot analog warm relaxed mellow vintage,adjective
放松,Relaxed,hot analog warm relaxed mellow vintage,adjective
慵懒,Lazy,hot analog warm relaxed mellow vintage,adjective
悠闲,Leisurely,hot analog warm relaxed mellow vintage,adjective
闲适,Easygoing,hot analog warm relaxed mellow vintage,adjective
随意,Casual,hot analog warm relaxed mellow vintage,adjective
轻松,Easy,hot analog warm relaxed mellow vintage,adjective
饱和,Saturated,hot analog warm relaxed mellow vintage,noun
着色,Colored,hot analog warm relaxed mellow vintage,adjective
染色,Tinted,hot analog warm relaxed mellow vintage,noun
谐波,Harmonic,hot analog warm relaxed mellow vintage,verb
泛音,Overtone,hot analog warm relaxed mellow vintage,noun
共振,Resonant,hot analog warm relaxed mellow vintage,verb
蜂蜜,Honey,hot analog warm relaxed mellow vintage,noun
奶油,Creamy,hot analog warm relaxed mellow vintage,noun
丝绒,Velvet,hot analog warm relaxed mellow vintage,adjective
羊毛,Wool,hot analog warm relaxed mellow vintage,adjective
棉花,Cotton,hot analog warm relaxed mellow vintage,noun
皮革,Leather,hot analog warm relaxed mellow vintage,adjective
铜色,Copper,hot analog warm relaxed mellow vintage,noun
金色,Golden,hot analog warm relaxed mellow vintage,adjective
琥珀,Amber,hot analog warm relaxed mellow vintage,adjective
焦糖,Caramel,hot analog warm relaxed mellow vintage,noun
胆机,Valve,hot analog warm relaxed mellow vintage,verb
黑胶,Vinyl,hot analog warm relaxed mellow vintage,noun
唱片,Record,hot analog warm relaxed mellow vintage,noun
开盘机,Reel,hot analog warm relaxed mellow vintage,noun
老式,Old-school,hot analog warm relaxed mellow vintage,noun
经典,Classic,hot analog warm relaxed mellow vintage,adjective
传统,Traditional,hot analog warm relaxed mellow vintage,noun
深沉,Deep,hot analog warm relaxed mellow vintage,noun
低沉,Low,hot analog warm relaxed mellow vintage,adjective
暗淡,Dark,hot analog warm relaxed mellow vintage,adjective
朦胧,Hazy,hot analog warm relaxed mellow vintage,adjective
模糊,Blurry,hot analog warm relaxed mellow vintage,adjective
