word_cn,word_en
# === Ambience/Public ===
机场,Airport
酒吧,Bar
自助餐厅,Cafeteria
赌场,Casino
建筑工地,Construction-Site
农场,Farm
健身房,Gym
港口,Harbor
图书馆,Library
市场,Market
博物馆,Museum
办公室,Office
公园,Park
游乐场,Playground
餐厅,Restaurant
学校,School
体育场,Stadium
车站,Station
街道,Street
超市,Supermarket
# === Domestic/LivingRoom ===
空调,Air-Conditioner
闹钟,Alarm
床,Bed
毯子,Blanket
百叶窗,Blind
盒子,Box
扫帚,Broom
柜子,Cabinet
地毯,Carpet
椅子,Chair
时钟,Clock
衣橱,Closet
窗帘,Curtain
门铃,Doorbell
抽屉,Drawer
风扇,Fan
家具,Furniture
加热器,Heater
钥匙,Key
灯,Lamp
灯开关,Light-Switch
锁,Lock
镜子,Mirror
电话,Phone
枕头,Pillow
收音机,Radio
沙发,Sofa
开关,Switch
桌子,Table
电视,Television
吸尘器,Vacuum
花瓶,Vase
窗户,Window
# === Domestic/Office ===
书,Book
计算器,Calculator
键盘,Keyboard
记号笔,Marker
鼠标,Mouse
翻页,Page-Turn
纸,Paper
钢笔,Pen
铅笔,Pencil
打印机,Printer
扫描仪,Scanner
剪刀,Scissors
订书机,Stapler
胶带,Tape
# === Modifier/Perspective ===
背景,Background
身后,Behind
双耳,Binaural
特写,Close-Up
前景,Foreground
扑面而来,In-Face
左声道,Left
单声道,Mono
画外音,Off-Screen
主观视角,Point-of-View
右声道,Right
立体声,Stereo
环绕声,Surround
# === Modifier/Scale ===
巨大的,Colossal
巨大的,Enormous
巨人,Giant
重型,Heavy
巨大,Huge
大,Large
轻型,Light
小,Little
微距,Macro
厚重,Massive
中等,Medium
微型,Micro
微缩,Miniature
小,Small
极小,Tiny
泰坦级,Titan
# === Office/Equipment ===
复印机,Photocopier
扫描仪,Scanner
打印机,Printer
碎纸机,Shredder
传真机,Fax
投影仪,Projector
打字机,Typewriter
电话,Telephone
计算器,Calculator
# === Office/Supplies ===
订书机,Stapler
打孔机,Hole-Punch
胶带座,Tape-Dispenser
剪刀,Scissors
美工刀,Cutter
印章,Stamp
白板,Whiteboard
马克笔,Marker
活页夹,Binder
文件柜,File-Cabinet
抽屉,Drawer
椅子嘎吱声,Chair-Squeak
# === Urban/Building ===
电梯,Elevator
自动扶梯,Escalator
自动门,Automatic-Door
旋转门,Revolving-Door
对讲机,Intercom
门铃,Doorbell
门环,Knocker
通风,Ventilation
暖通空调,HVAC
消防喷淋,Sprinkler
# === Urban/Street ===
井盖,Manhole
排水格栅,Grate
红绿灯,Traffic-Light
人行横道信号,Crosswalk
霓虹灯(滋滋声),Neon-Light
路灯,Streetlamp
消防栓,Hydrant
垃圾桶,Trash-Can
大型垃圾箱,Dumpster
栅栏,Fence
铁丝网,Chain-Link
大门,Gate
信箱,Mailbox
公用电话,Payphone
自动售货机,Vending-Machine
取款机,ATM
停车计时器,Parking-Meter
售票机,Ticket-Machine
