word_cn,word_en,semantic_hint
# ========== Temperament / 性情 词库 ==========
# X轴: Cold / 数字冷静 <-> Hot / 模拟热烈
# Y轴: Relaxed / 松弛平滑 <-> Tense / 紧张躁动

# ===== TL = Digital Minimal (Cold + Relaxed) 数字极简 =====
# --- 质感特征 ---
纯净,Pure,cold digital minimal relaxed smooth calm
水晶,Crystal,cold digital minimal relaxed smooth calm
极简,Minimal,cold digital minimal relaxed smooth calm
精确,Precise,cold digital minimal relaxed smooth calm
临床感,Clinical,cold digital minimal relaxed smooth calm
无菌,Sterile,cold digital minimal relaxed smooth calm
空灵,Ethereal,cold digital minimal relaxed smooth calm
飘渺,Floating,cold digital minimal relaxed smooth calm
透明,Transparent,cold digital minimal relaxed smooth calm
清澈,Clear,cold digital minimal relaxed smooth calm
洁净,Clean,cold digital minimal relaxed smooth calm
轻盈,Light,cold digital minimal relaxed smooth calm
稀薄,Thin,cold digital minimal relaxed smooth calm
明亮,Bright,cold digital minimal relaxed smooth calm
静谧,Serene,cold digital minimal relaxed smooth calm
宁静,Tranquil,cold digital minimal relaxed smooth calm
安详,Peaceful,cold digital minimal relaxed smooth calm
# --- 技术/数字 ---
数字,Digital,cold digital minimal relaxed smooth calm
电子,Electronic,cold digital minimal relaxed smooth calm
合成,Synthetic,cold digital minimal relaxed smooth calm
平滑,Smooth,cold digital minimal relaxed smooth calm
丝滑,Silky,cold digital minimal relaxed smooth calm
柔顺,Sleek,cold digital minimal relaxed smooth calm
冰冷,Icy,cold digital minimal relaxed smooth calm
冰晶,Frozen,cold digital minimal relaxed smooth calm
清脆,Crisp,cold digital minimal relaxed smooth calm
细腻,Fine,cold digital minimal relaxed smooth calm
精致,Refined,cold digital minimal relaxed smooth calm
# --- 氛围 ---
冥想,Meditation,cold digital minimal relaxed smooth calm
禅意,Zen,cold digital minimal relaxed smooth calm
极简主义,Minimalist,cold digital minimal relaxed smooth calm
白噪音,White-noise,cold digital minimal relaxed smooth calm
正弦波,Sine,cold digital minimal relaxed smooth calm
纯音,Pure-tone,cold digital minimal relaxed smooth calm
干净,Pristine,cold digital minimal relaxed smooth calm
无尘,Dust-free,cold digital minimal relaxed smooth calm
真空,Vacuum,cold digital minimal relaxed smooth calm
太空,Space,cold digital minimal relaxed smooth calm
无重力,Weightless,cold digital minimal relaxed smooth calm
漂浮,Drift,cold digital minimal relaxed smooth calm
悬浮,Suspended,cold digital minimal relaxed smooth calm
舒缓,Soothing,cold digital minimal relaxed smooth calm
轻柔,Gentle,cold digital minimal relaxed smooth calm
低调,Subtle,cold digital minimal relaxed smooth calm
安静,Quiet,cold digital minimal relaxed smooth calm
柔软,Soft,cold digital minimal relaxed smooth calm
# --- 环境音 ---
环境,Ambient,cold digital minimal relaxed smooth calm
氛围,Atmospheric,cold digital minimal relaxed smooth calm
铺底,Pad,cold digital minimal relaxed smooth calm
持续,Sustained,cold digital minimal relaxed smooth calm
延音,Sustain,cold digital minimal relaxed smooth calm
无限,Infinite,cold digital minimal relaxed smooth calm
循环,Loop,cold digital minimal relaxed smooth calm
无缝,Seamless,cold digital minimal relaxed smooth calm
流动,Flowing,cold digital minimal relaxed smooth calm
# --- 高频/亮度 ---
玻璃,Glass,cold digital minimal relaxed smooth calm
银色,Silver,cold digital minimal relaxed smooth calm
钻石,Diamond,cold digital minimal relaxed smooth calm
星光,Starlight,cold digital minimal relaxed smooth calm
月光,Moonlight,cold digital minimal relaxed smooth calm
薄雾,Mist,cold digital minimal relaxed smooth calm
晨露,Dew,cold digital minimal relaxed smooth calm

# ===== TR = Analog Warm (Hot + Relaxed) 模拟温暖 =====
# --- 温暖质感 ---
温暖,Warm,hot analog warm relaxed mellow vintage
复古,Vintage,hot analog warm relaxed mellow vintage
怀旧,Retro,hot analog warm relaxed mellow vintage
模拟,Analog,hot analog warm relaxed mellow vintage
电子管,Tube,hot analog warm relaxed mellow vintage
磁带,Tape,hot analog warm relaxed mellow vintage
柔和,Mellow,hot analog warm relaxed mellow vintage
圆润,Round,hot analog warm relaxed mellow vintage
丰满,Full,hot analog warm relaxed mellow vintage
厚实,Thick,hot analog warm relaxed mellow vintage
肥厚,Fat,hot analog warm relaxed mellow vintage
丰富,Rich,hot analog warm relaxed mellow vintage
# --- 有机/自然 ---
有机,Organic,hot analog warm relaxed mellow vintage
自然,Natural,hot analog warm relaxed mellow vintage
原木,Woody,hot analog warm relaxed mellow vintage
木质,Wooden,hot analog warm relaxed mellow vintage
原声,Acoustic,hot analog warm relaxed mellow vintage
泥土,Earthy,hot analog warm relaxed mellow vintage
大地,Earth,hot analog warm relaxed mellow vintage
# --- 舒适感 ---
舒适,Cozy,hot analog warm relaxed mellow vintage
惬意,Comfortable,hot analog warm relaxed mellow vintage
放松,Relaxed,hot analog warm relaxed mellow vintage
慵懒,Lazy,hot analog warm relaxed mellow vintage
悠闲,Leisurely,hot analog warm relaxed mellow vintage
闲适,Easygoing,hot analog warm relaxed mellow vintage
随意,Casual,hot analog warm relaxed mellow vintage
轻松,Easy,hot analog warm relaxed mellow vintage
# --- 饱和/着色 ---
饱和,Saturated,hot analog warm relaxed mellow vintage
着色,Colored,hot analog warm relaxed mellow vintage
染色,Tinted,hot analog warm relaxed mellow vintage
谐波,Harmonic,hot analog warm relaxed mellow vintage
泛音,Overtone,hot analog warm relaxed mellow vintage
共振,Resonant,hot analog warm relaxed mellow vintage
# --- 材质感 ---
蜂蜜,Honey,hot analog warm relaxed mellow vintage
奶油,Creamy,hot analog warm relaxed mellow vintage
丝绒,Velvet,hot analog warm relaxed mellow vintage
羊毛,Wool,hot analog warm relaxed mellow vintage
棉花,Cotton,hot analog warm relaxed mellow vintage
皮革,Leather,hot analog warm relaxed mellow vintage
铜色,Copper,hot analog warm relaxed mellow vintage
金色,Golden,hot analog warm relaxed mellow vintage
琥珀,Amber,hot analog warm relaxed mellow vintage
焦糖,Caramel,hot analog warm relaxed mellow vintage
# --- 设备/处理 ---
胆机,Valve,hot analog warm relaxed mellow vintage
黑胶,Vinyl,hot analog warm relaxed mellow vintage
唱片,Record,hot analog warm relaxed mellow vintage
开盘机,Reel,hot analog warm relaxed mellow vintage
老式,Old-school,hot analog warm relaxed mellow vintage
经典,Classic,hot analog warm relaxed mellow vintage
传统,Traditional,hot analog warm relaxed mellow vintage
# --- 低频/暗 ---
深沉,Deep,hot analog warm relaxed mellow vintage
低沉,Low,hot analog warm relaxed mellow vintage
暗淡,Dark,hot analog warm relaxed mellow vintage
朦胧,Hazy,hot analog warm relaxed mellow vintage
模糊,Blurry,hot analog warm relaxed mellow vintage
柔焦,Soft-focus,hot analog warm relaxed mellow vintage
# --- 情绪 ---
温馨,Heartwarming,hot analog warm relaxed mellow vintage
亲切,Friendly,hot analog warm relaxed mellow vintage
治愈,Healing,hot analog warm relaxed mellow vintage
抚慰,Soothing,hot analog warm relaxed mellow vintage
催眠,Hypnotic,hot analog warm relaxed mellow vintage
梦幻,Dreamy,hot analog warm relaxed mellow vintage
浪漫,Romantic,hot analog warm relaxed mellow vintage
感性,Sensual,hot analog warm relaxed mellow vintage

# ===== BL = Digital Harsh (Cold + Tense) 数字刺耳 =====
# --- 故障/错误 ---
故障,Glitch,cold digital tense harsh glitch
数码,Digital,cold digital tense harsh glitch
像素,Pixel,cold digital tense harsh glitch
位元,Bit,cold digital tense harsh glitch
数据,Data,cold digital tense harsh glitch
二进制,Binary,cold digital tense harsh glitch
代码,Code,cold digital tense harsh glitch
错误,Error,cold digital tense harsh glitch
损坏,Corrupt,cold digital tense harsh glitch
破碎,Broken,cold digital tense harsh glitch
崩溃,Crash,cold digital tense harsh glitch
死机,Freeze,cold digital tense harsh glitch
# --- 尖锐/刺耳 ---
尖锐,Sharp,cold digital tense harsh glitch
刺耳,Harsh,cold digital tense harsh glitch
刺激,Piercing,cold digital tense harsh glitch
切割,Cutting,cold digital tense harsh glitch
锋利,Edgy,cold digital tense harsh glitch
针刺,Needle,cold digital tense harsh glitch
刀片,Blade,cold digital tense harsh glitch
# --- 噪声 ---
噪声,Noise,cold digital tense harsh glitch
静电,Static,cold digital tense harsh glitch
干扰,Interference,cold digital tense harsh glitch
杂音,Crackle,cold digital tense harsh glitch
嗡嗡,Buzz,cold digital tense harsh glitch
嘶嘶,Hiss,cold digital tense harsh glitch
# --- 紧张/焦虑 ---
紧张,Tense,cold digital tense harsh glitch
焦虑,Anxious,cold digital tense harsh glitch
躁动,Restless,cold digital tense harsh glitch
神经质,Nervous,cold digital tense harsh glitch
不安,Uneasy,cold digital tense harsh glitch
警觉,Alert,cold digital tense harsh glitch
# --- 机械/冷硬 ---
机械,Mechanical,cold digital tense harsh glitch
