word_cn,word_en
# === Action/Destruction ===
湮灭,Annihilate
原子化,Atomize
破碎,Break
燃烧,Burn
倒塌,Collapse
腐蚀,Corrode
衰败,Decay
变形,Deform
拆毁,Demolish
瓦解,Disintegrate
溶解,Dissolve
侵蚀,Erode
爆炸,Explode
碎片化,Fragment
内爆,Implode
焚化,Incinerate
熔化,Melt
粉碎,Pulverize
破裂,Rupture
切断,Sever
切碎,Shred
汽化,Vaporize
# === Action/Interaction ===
连接,Attach
弯曲,Bend
捆绑,Bind
接住,Catch
扣紧,Clasp
压缩,Compress
连接,Connect
裂开,Crack
弄皱,Crumple
压碎,Crush
分离,Detach
断开,Disconnect
膨胀,Expand
伸展,Extend
固定,Fasten
折叠,Fold
摩擦,Friction
紧握,Grip
铰链转动,Hinge
充气,Inflate
插入,Insert
接合,Join
门闩锁住,Latch
举起,Lift
捏,Pinch
插入插头,Plug
戳,Poke
拉,Pull
推,Push
撕裂,Rip
摩擦,Rub
抓,Scratch
拧螺丝,Screw
折断,Snap
挤压,Squeeze
堆叠,Stack
拉伸,Stretch
抚摸,Stroke
撕破,Tear
拧紧,Tighten
触摸,Touch
扭转,Twist
展开,Unfold
解锁,Unlock
旋松,Unscrew
拉开拉链,Unzip
擦拭,Wipe
包裹,Wrap
拉拉链,Zip
# === Action/Liquid ===
淹没,Flood
起泡,Froth
涌出,Gush
泄漏,Leak
渗出,Ooze
冲洗,Rinse
吸食声,Slurp
浸泡,Soak
溢出,Spill
啪嗒声(湿物),Splat
喷雾,Spritz
吧唧声(踩泥),Squelch
# === Action/Movement ===
上下浮动,Bob
倾斜疾行,Careen
飞奔,Dart
猛冲,Dash
弹出,Eject
进入,Enter
退出,Exit
漂浮,Float
拍打,Flutter
飞奔(马),Gallop
停顿,Halt
发射,Launch
轨道运行,Orbit
震荡,Oscillate
枢轴转动,Pivot
推进,Propel
脉动,Pulsate
后坐力,Recoil
收回,Retract
旋转,Rotate
驱散,Scatter
颤抖,Shiver
滑行(蛇),Slither
螺旋,Spiral
摇摆,Sway
倾斜,Tilt
震颤,Tremble
翻滚,Tumble
扭曲,Twist
摇摆行走(鸭子),Waddle
漫游,Wander
扭动,Wiggle
摇晃,Wobble
# === Creature/General ===
生物,Creature
呼吸,Breath
粘液,Slime
# === Domestic/Bathroom ===
浴缸,Bath
冲水,Flush
淋浴,Shower
水槽,Sink
肥皂,Soap
马桶,Toilet
牙刷,Toothbrush
毛巾,Towel
# === Domestic/Kitchen ===
搅拌机,Blender
碗,Bowl
罐头,Can
切菜,Chop
咖啡,Coffee
杯子,Cup
餐具,Cutlery
盘子,Dish
洗碗机,Dishwasher
嘶嘶起泡,Fizz
叉子,Fork
冰箱,Fridge
煎炸,Fry
研磨,Grind
冰块,Ice
水壶,Kettle
微波炉,Microwave
搅拌器,Mixer
