word_cn,word_en,semantic_hint
# ========== 质感透镜 (Texture/Timbre) ==========
# X轴: Dark/Fear(黑暗恐惧) ← → Light/Healing(光明治愈)
# Y轴: Realistic/Serious(写实严肃) ← → Playful/Fun(趣味活跃)

# ============================================
# 左上象限: 电影惊悚 (Cinematic Tension)
# 黑暗恐惧 + 写实严肃
# ============================================
刺骨,Bone,chilling
沉重,Heavy,dark
血腥,Bloody,horror
压抑,Oppressive,dark
阴森,Sinister,dark
恐怖,Horrific,serious
惊悚,Thriller,tense
紧张,Tense,suspense
窒息,Suffocating,fear
绝望,Desperate,dark
冷酷,Cold,blooded cruel
残忍,Brutal,violence
凶狠,Vicious,attack
阴暗,Grim,dark
黑暗,Dark,horror
暗淡,Dark,dim
低沉,Deep,dark
沉闷,Muffled,dark
压迫,Crushing,oppressive
令人窒息,Stifling,horror
金属摩擦,Metal,scraping horror
冷兵器,Cold,steel weapon
审讯,Interrogation,dark
犯罪,Criminal,dark
战争废墟,War,ruins destruction
废墟,Ruins,desolate
荒凉,Desolate,horror
死寂,Dead,silent horror
腐朽,Decaying,horror
锈蚀,Corroded,dark
粗粝,Gritty,harsh
嘶哑,Hoarse,harsh
沙哑,Raspy,dark
干裂,Cracked,harsh
撕裂,Tearing,violence
骨折,Bone,crack horror
断裂,Snapping,break
崩塌,Collapsing,destruction
轰鸣,Rumbling,ominous
低频,Low,rumble dark
# 从 Core HF 补充
令人毛骨悚然,Creepy,
怪诞,Eerie,
邪恶,Evil,
惊吓,Fright,
闹鬼,Haunted,
突发惊吓,Jump,Scare
噩梦,Nightmare,
恐慌,Panic,
超自然,Paranormal,
悬疑,Suspense,
恐惧,Terror,
咬,Bite,
骨头,Bone,
窒息卡住,Choke,
剁,Chop,
破裂声,Crack,
嘎吱碎裂,Crunch,
刺穿,Impale,
穿刺,Pierce,
撕裂肉体,Rip,
斩断,Sever,
猛砍,Slash,
吸血鬼,Vampire,
狼人,Werewolf,
丧尸,Zombie,
恶魔,Demon,
魔鬼,Devil,
地穴,Crypt,
地牢,Dungeon,
墓地,Cemetery,
坟场,Graveyard,

# ============================================
# 右上象限: 自然宁静 (Organic Serenity)
# 光明治愈 + 写实严肃
# ============================================
通透,Crystal,clear pure
神圣,Sacred,divine
治愈,Healing,therapy
有机,Organic,natural
纯净,Pure,clean
清澈,Crystal,clear water
清新,Fresh,clean
自然,Natural,organic
原始,Pristine,pure
真实,Authentic,real
温暖,Warm,comforting
柔和,Soft,gentle
丝滑,Silky,smooth
顺滑,Smooth,gentle
天鹅绒,Velvety,soft
木质,Woody,natural
原声,Acoustic,natural
朴实,Earthy,natural
空灵,Ethereal,spiritual
灵性,Spiritual,divine
冥想,Meditative,calm
禅意,Zen,peaceful
宁静,Serene,peaceful
祥和,Peaceful,calm
安详,Tranquil,serene
森林,Forest,nature
晨曦,Dawn,light
黄昏,Dusk,peaceful
溪流,Stream,nature
泉水,Spring,water pure
鸟鸣,Birdsong,nature
虫鸣,Insects,nature
蝉鸣,Cicadas,nature
竖琴,Harp,angelic
钟声,Bell,sacred
钵声,Bowl,meditation
颂钵,Singing,bowl zen
风铃,Wind,chime peaceful
耳语,Whisper,gentle
ASMR,ASMR,relaxing
# 从 Core HF 补充
透气,Airy,
深沉,Deep,
饱满,Full,
丰富,Rich,
光滑,Smooth,
柔软,Soft,
结实,Solid,
甜美,Sweet,
厚,Thick,
紧致,Tight,
有调性,Tonal,
平静,Calm,
电影感,Cinematic,
戏剧性,Dramatic,
史诗,Epic,
英雄,Heroic,
神圣感,Holy,
和平安宁,Peaceful,
放松,Relaxing,
舒缓,Soothing,
庄严,Solemn,
振奋,Uplifting,
原声/声学,Acoustic,
干净,Clean,
清晰,Clear,
清脆,Crisp,
动态,Dynamic,
高保真,Hi,Fi
自然感,Natural,
纯粹,Pure,
原始未处理,Raw,
共鸣,Resonant,
微妙细微,Subtle,

# ============================================
# 左下象限: 怪诞故障 (Spooky / Glitch)
# 黑暗恐惧 + 趣味活跃
# ============================================
诡异,Eerie,spooky
恶作剧,Mischievous,prank
故障,Glitchy,error
扭曲,Twisted,weird
怪诞滑稽,Grotesque,bizarre
滑稽,Comical,dark
荒诞,Absurd,bizarre
黑色幽默,Dark,comedy
马戏团,Circus,creepy
小丑,Clown,scary
万圣节,Halloween,spooky
南瓜,Pumpkin,halloween
鬼魂,Ghostly,spooky
幽灵,Spectral,ghost
哥特,Gothic,dark
暗黑童话,Dark,fairy tale
酸性,Acidic,harsh
腐蚀,Corrosive,toxic
毒液,Venomous,toxic
粘液,Slimy,gross
黏糊,Gooey,gross
数字故障,Digital,glitch
比特碎裂,Bitcrushed,glitch
数据损坏,Data,corrupt error
错误,Error,glitch
崩溃,Crash,error
卡顿,Stuttering,glitch
失真,Distorted,weird
过载,Overdriven,harsh
低保真,Lo,fi retro
噪音,Noisy,chaotic
嘈杂,Chaotic,noise
疯狂,Crazy,manic
癫狂,Manic,crazy
神经质,Neurotic,weird
不稳定,Unstable,glitch
抽搐,Twitching,weird
